tobyhuang debug: num_processes=6
         69707 function calls (68434 primitive calls) in 0.054 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     88/1    0.000    0.000    0.054    0.054 {built-in method builtins.exec}
        1    0.000    0.000    0.053    0.053 train_bpe.py:1(<module>)
       11    0.000    0.000    0.047    0.004 __init__.py:1(<module>)
   124/10    0.000    0.000    0.041    0.004 <frozen importlib._bootstrap>:1349(_find_and_load)
   124/10    0.000    0.000    0.041    0.004 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
   113/11    0.000    0.000    0.040    0.004 <frozen importlib._bootstrap>:911(_load_unlocked)
    86/11    0.000    0.000    0.040    0.004 <frozen importlib._bootstrap_external>:1017(exec_module)
   257/21    0.000    0.000    0.037    0.002 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     19/7    0.000    0.000    0.032    0.005 {built-in method builtins.__import__}
    60/39    0.000    0.000    0.022    0.001 <frozen importlib._bootstrap>:1398(_handle_fromlist)
       86    0.000    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1090(get_code)
        1    0.000    0.000    0.017    0.017 train_bpe.py:13(bpe_tokenizer)
        1    0.000    0.000    0.016    0.016 pool.py:738(__exit__)
       86    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1211(get_data)
        1    0.000    0.000    0.012    0.012 pool.py:654(terminate)
       91    0.011    0.000    0.011    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.010    0.010 __init__.py:980(version)
        1    0.000    0.000    0.009    0.009 __init__.py:483(version)
        1    0.000    0.000    0.009    0.009 __init__.py:448(metadata)
        1    0.000    0.000    0.008    0.008 pool.py:305(_repopulate_pool)
        1    0.000    0.000    0.008    0.008 pool.py:314(_repopulate_pool_static)
        6    0.000    0.000    0.008    0.001 process.py:110(start)
        1    0.000    0.000    0.008    0.008 _adapters.py:1(<module>)
        6    0.000    0.000    0.007    0.001 context.py:292(_Popen)
        1    0.000    0.000    0.007    0.007 message.py:1(<module>)
        6    0.000    0.000    0.007    0.001 popen_spawn_posix.py:30(__init__)
        6    0.000    0.000    0.007    0.001 popen_fork.py:16(__init__)
        6    0.001    0.000    0.006    0.001 popen_spawn_posix.py:38(_launch)
      124    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        1    0.000    0.000    0.006    0.006 _main.py:1(<module>)
        1    0.000    0.000    0.006    0.006 context.py:1(<module>)
       98    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1548(find_spec)
       98    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1519(_get_spec)
        1    0.002    0.002    0.005    0.005 _regex_core.py:1(<module>)
      223    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1621(find_spec)
       86    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:779(_compile_bytecode)
        7    0.000    0.000    0.004    0.001 util.py:518(spawnv_passfds)
  358/355    0.002    0.000    0.004    0.000 {built-in method builtins.__build_class__}
        7    0.004    0.001    0.004    0.001 {built-in method _posixsubprocess.fork_exec}
       86    0.004    0.000    0.004    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.004    0.004 reduction.py:1(<module>)
        1    0.000    0.000    0.003    0.003 pool.py:1(<module>)
        1    0.000    0.000    0.003    0.003 utils.py:1(<module>)
      453    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
      471    0.003    0.000    0.003    0.000 {built-in method posix.stat}
        2    0.000    0.000    0.003    0.001 abc.py:1(<module>)
      120    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
       86    0.003    0.000    0.003    0.000 {built-in method _io.open_code}
      132    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
      196    0.000    0.000    0.002    0.000 __init__.py:330(_compile)
        3    0.000    0.000    0.002    0.001 context.py:110(SimpleQueue)
        1    0.000    0.000    0.002    0.002 pool.py:345(_setup_queues)
      113    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
       33    0.000    0.000    0.002    0.000 _compiler.py:743(compile)
       39    0.000    0.000    0.002    0.000 __init__.py:287(compile)
        3    0.000    0.000    0.002    0.001 queues.py:359(__init__)
        6    0.000    0.000    0.002    0.000 context.py:65(Lock)
        1    0.000    0.000    0.002    0.002 _policybase.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _common.py:1(<module>)
        6    0.000    0.000    0.002    0.000 synchronize.py:168(__init__)
        1    0.000    0.000    0.002    0.002 util.py:276(__call__)
        6    0.000    0.000    0.002    0.000 synchronize.py:50(__init__)
        1    0.000    0.000    0.002    0.002 pool.py:680(_terminate_pool)
        1    0.000    0.000    0.002    0.002 header.py:1(<module>)
        1    0.000    0.000    0.002    0.002 socket.py:1(<module>)
        3    0.000    0.000    0.001    0.000 threading.py:1059(join)
        3    0.000    0.000    0.001    0.000 {method 'join' of '_thread._ThreadHandle' objects}
       33    0.000    0.000    0.001    0.000 _parser.py:970(parse)
      3/1    0.000    0.000    0.001    0.001 threading.py:1001(_bootstrap)
      3/1    0.000    0.000    0.001    0.001 threading.py:1028(_bootstrap_inner)
      3/1    0.000    0.000    0.001    0.001 threading.py:984(run)
    70/33    0.000    0.000    0.001    0.000 _parser.py:451(_parse_sub)
